date,open,high,low,close,volume,average,barCount
2025-10-21 09:35:00-04:00,444.75,445.87,444.44,445.18,280456.0,445.193,1347
2025-10-21 09:36:00-04:00,445.3,446.11,445.21,445.9,185222.0,445.675,934
2025-10-21 09:37:00-04:00,445.91,447.49,445.48,446.85,314852.0,446.649,1462
2025-10-21 09:38:00-04:00,446.93,447.34,446.53,447.22,222083.0,446.947,1178
2025-10-21 09:39:00-04:00,447.22,447.26,446.44,446.61,141242.0,446.762,726
2025-10-21 09:40:00-04:00,446.57,448.4,446.2,448.38,306083.0,447.44,1568
2025-10-21 09:41:00-04:00,448.4,448.75,445.8,445.96,360562.0,447.594,1715
2025-10-21 09:42:00-04:00,445.94,446.06,443.8,443.86,421178.0,444.585,1886
2025-10-21 09:43:00-04:00,443.94,444.44,443.6,443.98,232179.0,444.024,1063
2025-10-21 09:44:00-04:00,443.99,444.86,443.74,444.0,214787.0,444.362,1050
2025-10-21 09:45:00-04:00,443.85,444.37,443.28,443.87,245457.0,443.803,1085
2025-10-21 09:46:00-04:00,443.71,444.38,443.02,444.13,201863.0,443.842,913
2025-10-21 09:47:00-04:00,444.06,444.34,443.72,444.09,131599.0,444.051,580
2025-10-21 09:48:00-04:00,444.02,444.6,442.63,442.7,228814.0,443.657,1039
2025-10-21 09:49:00-04:00,442.77,443.56,442.55,443.49,217651.0,443.01,930
2025-10-21 09:50:00-04:00,443.5,444.45,443.39,444.41,202680.0,443.951,889
2025-10-21 09:51:00-04:00,444.43,444.43,443.87,444.36,133638.0,444.108,579
2025-10-21 09:52:00-04:00,444.32,444.52,443.78,444.49,138473.0,444.247,620
2025-10-21 09:53:00-04:00,444.51,444.68,443.85,444.2,141525.0,444.308,650
2025-10-21 09:54:00-04:00,444.2,444.42,443.84,444.01,123526.0,444.061,608
2025-10-21 09:55:00-04:00,444.0,444.38,443.8,444.12,150458.0,444.103,899
2025-10-21 09:56:00-04:00,444.12,444.34,443.02,443.14,180700.0,443.419,789
2025-10-21 09:57:00-04:00,443.1,443.32,442.12,442.38,216490.0,442.624,1001
2025-10-21 09:58:00-04:00,442.39,443.12,442.3,443.08,174822.0,442.681,767
2025-10-21 09:59:00-04:00,443.12,443.24,442.81,443.04,110484.0,443.011,493
2025-10-21 10:00:00-04:00,443.08,443.4,442.2,442.38,165767.0,442.807,813
2025-10-21 10:01:00-04:00,442.36,442.97,442.05,442.88,118958.0,442.537,595
2025-10-21 10:02:00-04:00,442.88,443.15,442.58,442.73,110911.0,442.856,567
2025-10-21 10:03:00-04:00,442.77,443.16,442.26,443.04,144052.0,442.766,726
2025-10-21 10:04:00-04:00,443.06,443.62,442.91,443.24,163727.0,443.29,831
2025-10-21 10:05:00-04:00,443.26,443.87,443.0,443.86,148386.0,443.412,729
2025-10-21 10:06:00-04:00,443.84,444.32,443.75,444.1,190468.0,444.051,957
2025-10-21 10:07:00-04:00,444.1,444.15,443.43,443.82,114882.0,443.827,600
2025-10-21 10:08:00-04:00,443.86,444.19,443.61,443.8,116379.0,443.911,574
2025-10-21 10:09:00-04:00,443.8,444.09,443.45,443.52,108497.0,443.762,576
2025-10-21 10:10:00-04:00,443.53,444.45,443.15,444.29,210653.0,443.789,997
2025-10-21 10:11:00-04:00,444.31,444.57,444.07,444.11,156445.0,444.379,721
2025-10-21 10:12:00-04:00,444.08,444.22,443.5,443.64,126896.0,443.78,588
2025-10-21 10:13:00-04:00,443.66,444.11,443.59,444.07,92232.0,443.842,495
